tanggal,Philip_5Y,Philip_10Y,India_5Y,India_10Y,Brazil_5Y,Brazil_10Y,Turki_5Y,Turki_10Y,Mexico_5Y,Mexico_10Y,Malaysia_5Y,Malaysia_10Y,Thailand_5Y,Thailand_10Y,China_5Y,China_10Y,South_Africa_5Y,South_Africa_10Y,Argentina_5Y,Argentina_10Y,Colombia_5Y,Colombia_10Y,Indonesia_5Y,Indonesia_10Y
2025-03-27,73.795,115.875,50.05,90.26,184.075,291.935,316.985,391.575,133.955,210.96,49.685,83.505,49.385,69.275,50.55,72.215,220.26,330.705,1051.12,961.225,223.2,351.025,92.815,134.595
2025-03-28,74.125,116.26,50.49,90.765,187.395,287.73,318.695,385.355,137.495,213.715,51.27,85.61,51.77,72.015,51.38,73.26,225.46,337.49,1068.42,976.615,226.505,357.065,93.555,135.445
2025-03-31,76.765,127.095,51.51,92.42,186.715,294.685,319.27,389.31,135.96,213.515,54.09,89.455,54.2,79.79,52.05,74.08,229.39,338.235,1097.21,1005.54,228.695,356.735,95.495,137.84
2025-04-01,75.415,125.38,53.185,95.025,185.065,293.13,316.925,389.03,134.975,212.0,55.115,89.075,54.185,79.81,52.0,73.345,228.76,337.565,1071.33,975.805,227.4,356.98,95.29,138.095
2025-04-02,74.91,124.695,53.855,95.895,184.225,292.295,309.11,381.64,134.1,210.85,55.635,89.735,54.01,79.585,52.25,73.63,238.205,346.94,1065.84,975.96,225.97,355.76,94.665,137.32
2025-04-03,78.905,130.205,52.85,94.87,189.94,299.045,320.67,399.29,140.71,217.0,61.715,97.745,60.08,86.955,59.645,82.275,254.155,365.79,1112.99,1018.14,243.48,375.705,100.695,144.68
2025-04-04,83.73,136.615,55.325,98.09,200.72,309.98,345.025,423.475,152.445,230.92,65.025,97.49,64.395,92.08,67.47,91.3,273.765,388.385,1150.87,1050.81,266.55,394.25,108.57,154.035
2025-04-07,100.475,158.585,56.42,99.955,205.14,313.0,362.04,441.26,154.59,231.84,77.28,112.44,77.905,107.92,76.57,101.53,285.235,403.535,1200.75,1094.51,275.835,404.98,126.28,174.755
2025-04-08,100.275,149.11,64.89,111.345,213.53,320.065,349.575,422.7,162.03,239.155,73.21,107.51,70.935,99.835,86.44,73.63,265.59,368.595,1224.55,1100.56,286.405,414.91,128.195,176.85
2025-04-09,102.405,151.46,62.25,102.98,183.615,279.895,378.02,378.02,139.22,204.655,76.2,110.98,75.135,104.605,81.68,73.63,285.38,388.855,1220.48,1095.85,243.9,361.175,128.275,176.72
2025-04-10,89.675,136.045,63.745,104.845,201.0,309.55,349.035,421.075,154.295,230.68,69.115,102.515,66.525,94.66,78.105,103.13,259.36,358.905,1205.07,1082.74,268.385,400.87,117.355,164.15
2025-04-11,87.445,133.12,61.59,102.405,198.815,307.52,371.76,444.23,150.495,229.95,66.74,99.535,65.655,93.55,74.895,99.55,277.975,382.525,1168.43,1045.49,270.395,400.365,114.85,161.055
2025-04-14,82.17,126.515,66.92,109.73,195.11,305.095,352.535,427.505,145.695,226.215,63.5,95.54,63.71,91.255,69.5,93.46,260.575,361.025,994.545,923.88,263.805,393.555,108.37,153.44
2025-04-15,80.775,124.84,69.945,113.79,196.335,304.115,345.575,416.235,147.345,227.545,63.315,95.32,62.625,90.015,67.54,91.265,257.245,354.475,977.71,902.39,272.685,404.56,106.895,151.78
2025-04-16,82.58,127.12,70.615,114.4,200.165,310.34,338.325,411.065,152.29,232.21,65.04,97.46,64.195,91.865,68.875,92.775,256.54,354.16,991.11,913.94,288.475,419.64,108.425,153.59
2025-04-17,82.015,126.48,70.65,114.39,197.115,305.055,331.24,403.57,147.03,223.37,65.77,98.405,63.955,91.615,67.525,91.275,253.88,352.42,970.06,895.155,282.93,411.72,107.65,152.765
2025-04-18,81.705,126.245,70.57,114.55,198.125,305.815,331.23,403.505,147.64,223.9,65.465,98.145,63.715,91.45,67.215,91.04,254.515,352.795,970.04,895.105,284.37,412.7,107.245,152.48
2025-04-21,81.59,126.04,70.74,114.845,203.325,309.01,331.205,403.465,153.015,231.0,65.26,97.69,63.625,91.3,67.005,90.625,253.425,352.355,1020.64,939.625,292.97,420.01,107.09,152.23
2025-04-22,82.995,131.0,67.155,110.01,199.915,305.57,334.66,407.11,150.69,227.81,66.565,99.185,65.175,93.06,69.465,93.34,256.185,357.52,959.0,899.585,285.8,411.535,108.405,108.405
2025-04-23,78.81,125.67,65.89,108.305,192.795,299.0,327.23,399.24,144.695,221.875,63.59,95.59,61.545,88.805,64.765,88.085,243.965,344.5,934.59,877.58,276.885,403.855,102.175,146.35
2025-04-24,78.28,125.015,67.04,108.53,186.56,293.255,333.78,405.705,139.7,217.175,63.715,95.75,61.33,88.55,64.01,87.245,241.845,343.895,917.865,862.565,269.825,395.14,100.725,144.655
2025-04-25,75.495,121.465,66.735,108.14,182.05,287.01,340.745,411.805,137.605,215.04,61.94,93.605,58.715,85.46,61.455,84.355,240.875,342.385,905.585,854.655,263.285,388.29,95.825,138.88
2025-04-28,75.28,123.845,63.42,102.855,183.73,288.78,356.27,429.525,138.67,216.76,61.495,93.12,58.61,85.365,60.79,83.64,238.6,340.535,900.005,852.995,272.465,398.075,95.185,138.22
2025-04-29,75.325,123.905,65.57,105.87,179.155,283.035,359.425,432.37,134.87,213.02,61.35,92.945,59.445,86.365,60.025,82.765,241.645,343.93,905.04,852.04,266.39,391.005,95.245,138.275
2025-04-30,78.185,127.675,62.525,101.82,181.085,284.91,365.305,438.405,139.73,217.97,62.535,92.975,61.82,87.27,61.855,88.345,244.845,347.715,923.33,849.98,268.075,393.715,97.86,138.325
2025-05-01,78.19,127.535,62.89,102.235,183.485,288.98,359.49,432.45,142.32,220.0,62.365,92.53,61.83,87.175,61.25,87.64,242.765,345.315,923.01,873.98,272.52,397.98,98.68,139.28
2025-05-02,76.325,125.02,50.46,85.715,181.98,287.0,352.77,425.22,141.975,220.0,60.97,90.815,60.675,85.815,59.16,85.155,239.33,340.99,922.925,888.715,271.01,396.0,96.28,136.43
2025-05-05,76.615,125.34,50.145,85.175,182.22,289.54,352.77,425.255,143.045,221.055,60.58,90.32,61.165,86.29,59.875,85.95,247.54,350.315,921.15,887.18,271.085,396.71,96.345,136.455
2025-05-06,76.85,125.59,49.985,84.95,180.055,285.495,347.17,418.38,139.36,219.845,62.045,92.035,60.79,85.83,60.805,87.015,236.475,341.63,909.03,855.065,265.98,391.055,96.835,136.97
2025-05-07,74.13,122.09,49.65,84.26,181.065,286.16,340.23,414.0,138.45,219.0,60.325,89.995,59.315,84.13,59.46,86.2,230.18,335.06,897.96,857.175,265.115,391.14,93.915,133.62
2025-05-08,71.41,118.545,46.05,79.225,178.675,283.98,336.01,409.14,136.285,216.945,58.435,87.72,57.775,82.355,56.785,83.035,228.13,330.875,896.07,855.05,261.485,386.775,91.095,130.35
2025-05-09,70.41,117.105,46.13,79.3,178.23,283.0,332.805,410.04,135.895,216.0,58.24,87.42,58.495,83.14,56.0,82.04,228.355,333.34,882.955,843.425,261.24,386.0,90.475,129.535
2025-05-12,66.32,111.64,46.59,79.86,164.545,265.62,315.795,393.96,122.08,195.425,55.405,83.955,54.44,78.385,51.285,76.375,216.59,322.35,848.265,812.04,233.725,353.705,85.58,123.74
2025-05-13,65.185,110.025,44.97,77.685,162.1,265.75,308.88,388.235,117.01,192.95,54.445,82.73,54.115,77.97,51.775,76.925,211.34,318.405,835.835,800.965,227.005,347.6,84.67,122.585
2025-05-14,64.01,108.465,45.675,78.63,163.94,268.0,303.51,384.22,117.825,197.0,53.355,84.73,52.805,76.425,51.62,78.18,207.13,315.135,840.95,805.555,227.515,352.02,83.105,120.745
2025-05-15,65.0,113.64,45.64,78.665,167.17,277.38,303.255,383.82,121.37,199.21,53.59,84.975,53.91,77.705,52.57,79.305,209.765,318.37,845.32,809.545,228.705,351.665,84.635,122.485
2025-05-16,63.78,112.04,45.88,78.82,166.205,270.0,297.8,377.52,120.505,198.74,52.305,83.39,52.17,75.67,52.03,78.685,206.635,313.58,847.36,837.25,226.03,348.75,83.06,120.69
