tanggal,Yield_BRA_MAY_54,Yield_CHIL_JAN_54,Yield_COL_NOV_54,Yield_INDO_SEP_54,Yield_KSA_JAN_54,Yield_MEX_MAY_55,Yield_SOAF_NOV_54,Yield_US_CT_30Y,Spread_BRA_MAY_54,Spread_CHIL_JAN_54,Spread_COL_NOV_54,Spread_INDO_SEP_54,Spread_KSA_JAN_54,Spread_MEX_MAY_55,Spread_SOAF_NOV_54,Yield_BRA_JAN_56,Spread_BRA_JAN_56
2019-09-26,4.794,3.07,3.985,3.739,3.898,4.204,5.781,2.143,265.1,92.7,184.2,159.6,175.5,206.1,363.8,,
2019-09-27,4.802,3.087,3.99,3.756,3.84,4.197,5.747,2.13,267.2,95.7,186.0,162.6,171.0,206.7,361.7,,
2019-09-30,4.817,3.08,3.983,3.766,3.827,4.184,5.77,2.112,270.5,96.8,187.1,165.4,171.5,207.2,365.8,,
2019-10-01,4.851,3.079,4.003,3.774,3.81,4.197,5.798,2.093,275.8,98.6,191.0,168.1,171.7,210.4,370.5,,
2019-10-02,4.87,3.079,4.009,3.72,3.844,4.191,5.834,2.088,278.2,99.1,192.1,163.2,175.6,210.3,374.6,,
2019-10-03,4.859,3.017,3.974,3.698,3.804,4.125,5.816,2.033,282.6,98.4,194.1,166.5,177.1,209.2,378.3,,
2019-10-04,4.843,2.906,3.888,3.662,3.786,4.073,5.762,2.016,282.7,89.0,187.2,164.6,177.0,205.7,374.6,,
2019-10-07,4.86,2.934,3.899,3.653,3.83,4.093,5.765,2.049,281.1,88.5,185.0,160.4,178.1,204.4,371.6,,
2019-10-08,4.869,2.938,3.904,3.665,3.846,4.091,5.787,2.03,283.9,90.8,187.4,163.5,181.6,206.1,375.7,,
2019-10-09,4.836,2.954,3.931,3.693,3.881,4.111,5.794,2.085,275.1,86.9,184.6,160.8,179.6,202.6,370.9,,
2019-10-10,4.838,3.012,3.974,3.71,3.943,4.141,5.806,2.163,267.5,84.9,181.1,154.7,178.0,197.8,364.3,,
2019-10-11,4.854,3.054,3.991,3.743,3.977,4.176,5.776,2.195,265.9,85.9,179.6,154.8,178.2,198.1,358.1,,
2019-10-14,4.854,3.054,3.991,3.743,3.977,4.176,5.776,2.195,265.9,85.9,179.6,154.8,178.2,198.1,358.1,,
2019-10-15,4.84,3.073,3.999,3.712,3.946,4.186,5.785,2.236,260.4,83.7,176.3,147.6,171.0,195.0,354.9,,
2019-10-16,4.831,3.085,3.998,3.724,3.926,4.178,5.793,2.226,260.5,85.9,177.2,149.8,170.0,195.2,356.7,,
2019-10-17,4.829,3.085,4.042,3.742,3.963,4.18,5.789,2.235,259.4,85.0,180.7,150.7,172.8,194.5,355.4,,
2019-10-18,4.829,3.075,4.017,3.752,4.007,4.17,5.792,2.25,257.9,82.5,176.7,150.2,175.7,192.0,354.2,,
2019-10-21,4.848,3.131,4.031,3.786,4.026,4.181,5.809,2.292,255.6,83.9,173.9,149.4,173.4,188.9,351.7,,
2019-10-22,4.835,3.103,4.013,3.767,3.974,4.161,5.778,2.253,258.2,85.0,176.0,151.4,172.1,190.8,352.5,,
2019-10-23,4.83,3.095,4.013,3.737,3.978,4.164,5.761,2.255,257.5,84.0,175.8,148.2,172.3,190.9,350.6,,
2019-10-24,4.816,3.09,4.015,3.778,3.975,4.16,5.752,2.263,255.3,82.7,175.2,151.5,171.2,189.7,348.9,,
2019-10-25,4.812,3.096,4.014,3.653,3.974,4.162,5.757,2.288,252.4,80.8,172.6,136.5,168.6,187.4,346.9,,
2019-10-28,4.826,3.139,4.065,3.632,4.0,4.182,5.789,2.335,249.1,80.4,173.0,129.7,166.5,184.7,345.4,,
2019-10-29,4.822,3.159,4.077,3.599,4.011,4.188,5.819,2.335,248.7,82.4,174.2,126.4,167.6,185.3,348.4,,
2019-10-30,4.817,3.161,4.059,3.623,3.983,4.178,5.938,2.254,256.3,90.7,180.5,136.9,172.9,192.4,368.4,,
2019-10-31,4.789,3.104,4.007,3.612,3.923,4.131,5.972,2.18,260.9,92.4,182.7,143.2,174.3,195.1,379.2,,
2019-11-01,4.743,3.122,4.004,3.592,3.895,4.114,5.965,2.19,255.3,93.2,181.4,140.2,170.5,192.4,377.5,,
2019-11-01,4.743,3.198,4.004,3.592,3.952,4.137,5.965,2.19,255.3,100.8,181.4,140.2,176.2,194.7,377.5,,
2019-11-04,4.788,3.31,4.045,3.608,4.027,4.215,5.871,2.263,252.5,104.7,178.2,134.5,176.4,195.2,360.8,,
2019-11-05,4.913,3.284,4.14,3.672,4.025,4.187,5.945,2.339,257.4,94.5,180.1,133.3,168.6,184.8,360.6,,
2019-11-06,4.926,3.349,4.107,3.656,4.066,4.228,5.969,2.316,261.0,103.3,179.1,134.0,175.0,191.2,365.3,,
2019-11-07,4.987,3.333,4.141,3.65,4.084,4.232,5.982,2.397,259.0,93.6,174.4,125.3,168.7,183.5,358.5,,
2019-11-08,4.999,3.333,4.137,3.663,4.084,4.232,6.013,2.425,257.4,90.8,171.2,123.8,165.9,180.7,358.8,,
2019-11-11,4.999,3.405,4.137,3.663,4.072,4.247,6.013,2.425,257.4,98.0,171.2,123.8,164.7,182.2,358.8,,
2019-11-12,5.026,3.326,4.158,3.67,4.031,4.22,6.035,2.417,260.9,90.9,174.1,125.3,161.4,180.3,361.8,,
2019-11-13,5.024,3.296,4.154,3.651,3.964,4.2,6.049,2.366,265.8,93.0,178.8,128.5,159.8,183.4,368.3,,
2019-11-14,4.997,3.27,4.133,3.631,3.956,4.202,6.002,2.3,269.7,97.0,183.3,133.1,165.6,190.2,370.2,,
2019-11-15,4.988,3.279,4.135,3.63,3.96,4.221,5.95,2.305,268.3,97.4,183.0,132.5,165.5,191.6,364.5,,
2019-11-18,4.995,3.283,4.164,3.627,3.943,4.232,5.945,2.3,269.5,98.3,186.4,132.7,164.3,193.2,364.5,,
2019-11-19,5.015,3.273,4.186,3.612,3.929,4.202,5.975,2.252,276.3,102.1,193.4,136.0,167.7,195.0,372.3,,
2019-11-20,4.981,3.266,4.155,3.571,3.923,4.178,5.983,2.21,277.1,105.6,194.5,136.1,171.3,196.8,377.3,,
2019-11-21,4.975,3.241,4.104,3.563,3.926,4.142,5.99,2.232,274.3,100.9,187.2,133.1,169.4,191.0,375.8,,
2019-11-22,4.933,3.241,4.071,3.572,3.926,4.142,5.995,2.222,271.1,101.9,184.9,135.0,170.4,192.0,377.3,,
2019-11-25,4.925,3.212,4.064,3.56,3.913,4.122,6.013,2.202,272.3,101.0,186.2,135.8,171.1,192.0,381.1,,
2019-11-26,4.931,3.191,4.083,3.532,3.897,4.11,6.055,2.179,275.2,101.2,190.4,135.3,171.8,193.1,387.6,,
2019-11-27,4.939,3.207,4.104,3.537,3.891,4.128,6.064,2.191,274.8,101.6,191.3,134.6,170.0,193.7,387.3,,
2019-11-28,4.939,3.207,4.104,3.537,3.891,4.128,6.064,2.191,274.8,101.6,191.3,134.6,170.0,193.7,387.3,,
2019-11-29,4.939,3.221,4.099,3.543,3.889,4.132,6.061,2.206,273.3,101.5,189.3,133.7,168.3,192.6,385.5,,
2019-12-02,5.016,3.289,4.169,3.575,3.927,4.186,6.093,2.266,275.0,102.3,190.3,130.9,166.1,192.0,382.7,,
2019-12-03,4.977,3.273,4.129,3.571,3.888,4.157,6.162,2.165,281.2,110.8,196.4,140.6,172.3,199.2,399.7,,
2019-12-04,4.955,3.286,4.118,3.536,3.9,4.158,6.139,2.228,272.7,105.8,189.0,130.8,167.2,193.0,391.1,,
2019-12-05,4.941,3.29,4.098,3.54,3.914,4.158,6.15,2.26,268.1,103.0,183.8,128.0,165.4,189.8,389.0,,
2019-12-06,4.911,3.289,4.079,3.535,3.91,4.149,6.148,2.278,263.3,101.1,180.1,125.7,163.2,187.1,387.0,,
2019-12-09,4.888,3.286,4.061,3.528,3.882,4.123,6.133,2.255,263.3,103.1,180.6,127.3,162.7,186.8,387.8,,
2019-12-10,4.864,3.282,4.047,3.513,3.893,4.099,6.186,2.266,259.8,101.6,178.1,124.7,162.7,183.3,392.0,,
2019-12-11,4.82,3.241,4.009,3.488,3.878,4.058,6.187,2.227,259.3,101.4,178.2,126.1,165.1,183.1,396.0,,
2019-12-12,4.807,3.287,4.024,3.474,3.883,4.076,6.164,2.311,249.6,97.6,171.3,116.3,157.2,176.5,385.3,,
2019-12-13,4.775,3.239,3.987,3.504,3.868,4.034,6.148,2.253,252.2,98.6,173.4,125.1,161.5,178.1,389.5,,
2019-12-16,4.762,3.216,3.951,3.498,3.866,4.009,6.132,2.287,247.5,92.9,166.4,121.1,157.9,172.2,384.5,,
2019-12-17,4.753,3.205,3.955,3.512,3.853,3.979,6.014,2.307,244.6,89.8,164.8,120.5,154.6,167.2,370.7,,
2019-12-18,4.755,3.215,3.965,3.519,3.848,3.986,5.973,2.348,240.7,86.7,161.7,117.1,150.0,163.8,362.5,,
