tanggal,CDS_CBIN_5Y,CDS_CBIN_10Y
2020-08-05,109.635,174.73
2020-08-06,108.87,173.71
2020-08-07,109.34,174.31
2020-08-10,108.67,173.375
2020-08-11,105.03,168.85
2020-08-12,104.645,168.29
2020-08-13,103.785,167.15
2020-08-14,105.505,169.235
2020-08-17,104.925,168.455
2020-08-18,103.245,166.39
2020-08-19,102.465,169.395
2020-08-20,103.68,173.22
2020-08-21,102.44,170.785
2020-08-24,98.565,165.775
2020-08-25,97.495,164.38
2020-08-26,97.08,163.77
2020-08-27,97.495,164.28
2020-08-28,96.915,163.455
2020-08-31,93.64,159.165
2020-09-01,90.695,155.365
2020-09-02,86.4,149.8
2020-09-03,87.955,151.875
2020-09-04,88.58,152.69
2020-09-07,88.89,152.945
2020-09-08,90.155,154.6
2020-09-09,89.9,154.3
2020-09-10,92.855,158.14
2020-09-11,93.09,158.45
2020-09-14,91.59,156.48
2020-09-15,91.5,157.8
2020-09-16,90.59,156.575
2020-09-17,93.675,160.615
2020-09-18,92.635,159.23
2020-09-21,108.08,168.8
2020-09-22,110.925,172.255
2020-09-23,111.97,173.515
2020-09-24,118.395,181.435
2020-09-25,119.165,182.35
2020-09-28,115.96,178.375
2020-09-29,116.83,179.43
2020-09-30,114.815,179.66
2020-10-01,111.325,175.255
2020-10-02,113.365,177.81
2020-10-05,108.395,174.795
2020-10-06,102.105,166.62
2020-10-07,101.625,166.06
2020-10-08,97.875,161.14
2020-10-09,93.22,157.91
2020-10-12,92.5,156.89
2020-10-13,93.125,157.705
2020-10-14,94.59,159.72
2020-10-15,98.015,164.23
2020-10-16,94.815,159.985
2020-10-19,95.08,160.285
2020-10-20,94.0,158.805
2020-10-21,94.71,160.875
2020-10-22,95.285,161.585
2020-10-23,93.995,159.78
2020-10-26,96.345,162.89
2020-10-27,95.775,162.185
2020-10-28,97.93,165.075
2020-10-29,98.405,165.68
2020-10-30,99.455,167.17
2020-11-02,98.255,165.48
2020-11-03,93.525,159.3
2020-11-04,93.345,159.01
