tanggal_lelang_pricing,code,tenor,ust_10y,ust_2y,vix,move,dxy,ndf_1m,ndf_12m,idr_regn,ust_3m,xau_gold,inflation,slope_10y_2y,slope_2y_3m,cds_5y,indo_10y,tenor_x_ust10y,vix_x_move,prev_owners_estimate_code,prev_way_awarded_code,days_since_prev_auction_code,auctions_since_prev_code,prev_bid_to_cover_ratio_code,prev_total_penawaran_code,prev_total_penawaran_diterima_code,owners_estimate
11/07/2023,bm10,9.596167009,3.997,4.861,15.07,131.73,101.972,0.144784469,0.83580125,15195,5.365,1925.35,3.54,-0.864,-0.504,88.455,6.355845,38.35587953,1985.1711,6.23,6.23,14,81,5.551219512,11380000,2050000,6.21
11/07/2023,spn03m,0.249144422,3.997,4.861,15.07,131.73,101.972,0.144784469,0.83580125,15195,5.365,1925.35,3.54,-0.864,-0.504,88.455,6.355845,0.995830255,1985.1711,4.25,0,14,81,0,0,1750000,4.35
11/07/2023,bm05,5.092402464,3.997,4.861,15.07,131.73,101.972,0.144784469,0.83580125,15195,5.365,1925.35,3.54,-0.864,-0.504,88.455,6.355845,20.35433265,1985.1711,5.85,5.84915,14,81,2.152222222,7748000,3600000,5.93
11/07/2023,bm30,28.09034908,3.997,4.861,15.07,131.73,101.972,0.144784469,0.83580125,15195,5.365,1925.35,3.54,-0.864,-0.504,88.455,6.355845,112.2771253,1985.1711,6.71,6.70944,14,81,1.410857143,2962800,2100000,6.7
25/07/2023,bm15,14.88569473,3.874,4.921,13.91,109.95,101.346,0.046595221,0.625707249,15023,5.417,1954.73,3.54,-1.047,-0.496,81.61,6.324274,57.66718138,1529.4045,6.4,6.39489,14,82,3.073098592,10909500,3550000,6.34
25/07/2023,spn12m,0.996577687,3.874,4.921,13.91,109.95,101.346,0.046595221,0.625707249,15023,5.417,1954.73,3.54,-1.047,-0.496,81.61,6.324274,3.860741959,1529.4045,5.23,5.23,14,82,1,800000,800000,5.38
25/07/2023,bm10,9.557837098,3.874,4.921,13.91,109.95,101.346,0.046595221,0.625707249,15023,5.417,1954.73,3.54,-1.047,-0.496,81.61,6.324274,37.02706092,1529.4045,6.21,6.20837,14,82,3.934366197,13967000,3550000,6.2
25/07/2023,bm30,28.05201916,3.874,4.921,13.91,109.95,101.346,0.046595221,0.625707249,15023,5.417,1954.73,3.54,-1.047,-0.496,81.61,6.324274,108.6735222,1529.4045,6.7,6.694,14,82,2.210611111,3979100,1800000,6.67
25/07/2023,bm05,5.054072553,3.874,4.921,13.91,109.95,101.346,0.046595221,0.625707249,15023,5.417,1954.73,3.54,-1.047,-0.496,81.61,6.324274,19.57947707,1529.4045,5.93,5.93,14,82,8.10375,12966000,1600000,5.9
25/07/2023,spn03m,0.246406571,3.874,4.921,13.91,109.95,101.346,0.046595221,0.625707249,15023,5.417,1954.73,3.54,-1.047,-0.496,81.61,6.324274,0.954579056,1529.4045,4.35,0,14,82,0,200000,0,4.4
25/07/2023,bm20,19.88501027,3.874,4.921,13.91,109.95,101.346,0.046595221,0.625707249,15023,5.417,1954.73,3.54,-1.047,-0.496,81.61,6.324274,77.03452979,1529.4045,6.48,6.48,14,82,2.926470588,4975000,1700000,6.42
08/08/2023,spn12m,0.802190281,4.093,4.766,15.77,120.94,102.047,0.270003293,0.974646032,15185,5.411,1936.56,3.11,-0.673,-0.645,78.34,6.390695,3.28336482,1907.2238,5.38,5.378,14,83,2.066666667,1550000,750000,5.4
